SiteName,Locator,Latitude,Longitude,Site Type,Area,New Georeferenced Column
Newcastle Beach,083930SB,47.56561,-122.191475,Swimming Beaches,Lake Washington,POINT (-122.191475 47.56561)
Lake Washington off Chism Park,0847,47.601982,-122.23636,Large Lakes,Lake Washington,POINT (-122.23636 47.601982)
Lake Sammamish near Issaquah Creek,0614,47.56232,-122.06706,Large Lakes,Lake Sammamish,POINT (-122.06706 47.56232)
Zackuse Creek,A687,47.612299999999998,-122.0685,Streams and Rivers,Zackuse,POINT (-122.0685 47.6123)
South Plant Outfall South,RT625SP,47.599222220000001,-122.4274583,Marine Offshore,Central Puget Sound,POINT (-122.4274583 47.59922222)
Lake Sammamish mid-lake central,0612,47.591209999999997,-122.09568,Large Lakes,Lake Sammamish,POINT (-122.09568 47.59121)
Beaver Lake Swim Beach,A709SB,47.587380000000003,-122.00242,Swimming Beaches,Beaver Lake,POINT (-122.00242 47.58738)
May Creek mouth at Lake Washington Blvd N,0440,47.529972219999998,-122.2013056,Streams and Rivers,May,POINT (-122.2013056 47.52997222)
Pine Lake Creek mouth at E Lake Sammamish Pkwy,A680,47.601055559999999,-122.0800833,Streams and Rivers,Pine Lake,POINT (-122.0800833 47.60105556)
Duwamish River/Boeing Bridge/burned bridge at 27th Ave S And S 104th St,0308,47.512298600000001,-122.3000031,Streams and Rivers,Duwamish,POINT (-122.3000031 47.5122986)
Mill Creek near 68th Ave S and S 262nd St,A315,47.367333330000001,-122.24852780000001,Streams and Rivers,Mill,POINT (-122.2485278 47.36733333)
Constellation Park,LSKS01,47.571998600000001,-122.4140015,Marine Intertidal,Central Puget Sound,POINT (-122.4140015 47.5719986)
Duck Island Beach Green Lake,A734_GM21,47.680835999999999,-122.34241,Swimming Beaches,Green Lake,POINT (-122.34241 47.680836)
Groveland Park Beach,GROVELDSB,47.551304000000002,-122.23441,Swimming Beaches,Lake Washington,POINT (-122.23441 47.551304)
George Davis Creek mouth at E Lake Sammamish Pkwy,A690,47.615472220000001,-122.06816670000001,Streams and Rivers,George Davis,POINT (-122.0681667 47.61547222)
Denny Way Short Outfall,LTBC42,47.617900800000001,-122.3610001,Marine Offshore,Central Puget Sound,POINT (-122.3610001 47.6179008)
Lisabeula Park,MRUW01,47.405799899999998,-122.5220032,Marine Intertidal,Central Puget Sound,POINT (-122.5220032 47.4057999)
Point Wells - Discontinued,PTWELLS1,47.785235829999998,-122.40703329999999,Marine Offshore,Central Puget Sound,POINT (-122.4070333 47.78523583)
Luther Burbank Park Beach,SD017SB,47.587859999999999,-122.22425,Swimming Beaches,Lake Washington,POINT (-122.22425 47.58786)
West of Ballard Locks,KSRU02,47.666900599999998,-122.40100099999999,Marine Offshore,Central Puget Sound,POINT (-122.401001 47.6669006)
Meydenbauer Bay Park Beach,0834SB,47.610442999999997,-122.20972,Swimming Beaches,Lake Washington,POINT (-122.20972 47.610443)
Duwamish at E Marginal Way,0309,47.500694439999997,-122.2881667,Streams and Rivers,Duwamish,POINT (-122.2881667 47.50069444)
Issaquah Creek mouth at NW Sammamish Rd,0631,47.552166669999998,-122.04794440000001,Streams and Rivers,Issaquah,POINT (-122.0479444 47.55216667)
Ravensdale mouth,LSIN9,47.326222219999998,-122.0281111,Streams and Rivers,Ravensdale,POINT (-122.0281111 47.32622222)
Tramp Harbor,MSSM05,47.413299600000002,-122.43699650000001,Marine Intertidal,Central Puget Sound,POINT (-122.4369965 47.4132996)
Coal Creek upstream of 119th Ave SE,0442,47.566416670000002,-122.1790833,Streams and Rivers,Coal,POINT (-122.1790833 47.56641667)
Bear Creek at NE 133rd St,J484,47.717722219999999,-122.0770833,Streams and Rivers,Bear,POINT (-122.0770833 47.71772222)
Ship Canal above locks,0512,47.664805999999999,-122.39619399999999,Large Lakes,Lake Union/Ship Canal,POINT (-122.396194 47.664806)
Green River at Interurban,0311,47.465472220000002,-122.24794439999999,Streams and Rivers,Green,POINT (-122.2479444 47.46547222)
Middle Fork Snoqualmie at 428th Ave SE,MFK_SNQ,47.516111109999997,-121.7694444,Streams and Rivers,Snoqualmie - Middle Fork,POINT (-121.7694444 47.51611111)
Penn Cove - ECY PNN001,PENNCOVEPNN001,48.229999999999997,-122.67,Marine Offshore,Whidbey,POINT (-122.67 48.23)
Seattle Waterfront - Grain Terminal,LTAB01,47.626098599999999,-122.3700027,Marine Intertidal,Central Puget Sound,POINT (-122.3700027 47.6260986)
Forbes Creek mouth near 98th Ave NE,0456A,47.696449999999999,-122.2081194,Streams and Rivers,Forbes,POINT (-122.2081194 47.69645)
Ship Canal near Montlake Bridge,0540,47.647309999999997,-122.30525,Large Lakes,Lake Union/Ship Canal,POINT (-122.30525 47.64731)
Mileta Creek at Dockton Rd SW,VA45A,47.388444440000001,-122.42786940000001,Streams and Rivers,Mileta,POINT (-122.4278694 47.38844444)
Forbes Creek at 108th Ave NE,A456,47.695934000000001,-122.19790999999999,Streams and Rivers,Forbes,POINT (-122.19791 47.695934)
Point Wells,JSTU01,47.780700699999997,-122.4029999,Marine Offshore,Central Puget Sound,POINT (-122.4029999 47.7807007)
Dumas Bay,NSJY01,47.326099399999997,-122.3840027,Marine Intertidal,Central Puget Sound,POINT (-122.3840027 47.3260994)
Lyon Creek mouth at Bothell Way NE,0430,47.752919439999999,-122.2777778,Streams and Rivers,Lyon,POINT (-122.2777778 47.75291944)
Soos Creek mouth below Soos Creek Hatchery,A320,47.308477779999997,-122.1690917,Streams and Rivers,Soos,POINT (-122.1690917 47.30847778)
Port Susan - Stillaguamish buoy,PSUSANBUOY,48.174999999999997,-122.42,Marine Offshore,Whidbey,POINT (-122.42 48.175)
Thornton Creek at Matthews Beach,A434,47.695099999999996,-122.27652,Swimming Beaches,Thornton,POINT (-122.27652 47.6951)
Carkeek Park - Piper's Creek Outflow,KSHZ03,47.712538889999998,-122.37957780000001,Marine Intertidal,Central Puget Sound,POINT (-122.3795778 47.71253889)
Thornton Creek mouth at Sand Point Way NE,0434,47.696305559999999,-122.27663889999999,Streams and Rivers,Thornton,POINT (-122.2766389 47.69630556)
Lake Washington off Madrona Park,0846,47.609814,-122.26797500000001,Large Lakes,Lake Washington,POINT (-122.267975 47.609814)
Seahurst Park,MTEC01,47.478099800000003,-122.3639984,Marine Intertidal,Central Puget Sound,POINT (-122.3639984 47.4780998)
Swamp Creek mouth at Bothell Way NE,0470,47.755527780000001,-122.2339444,Streams and Rivers,Swamp,POINT (-122.2339444 47.75552778)
Seattle Waterfront - Ferry Terminal,LTEH02,47.601699799999999,-122.3389969,Marine Intertidal,Central Puget Sound,POINT (-122.3389969 47.6016998)
Port Susan - Kayak Point,PSUSANKP,48.130000000000003,-122.40000000000001,Marine Offshore,Whidbey,POINT (-122.4 48.13)
Duwamish Park,LTTL02,47.531501800000001,-122.3199997,Marine Intertidal,Central Puget Sound,POINT (-122.3199997 47.5315018)
Duwamish River - South Harbor Island,LTLF04,47.567001300000001,-122.34799959999999,Marine Offshore,Central Puget Sound,POINT (-122.3479996 47.5670013)
Lake Washington Wolf Bay,0845,47.663822000000003,-122.25135,Large Lakes,Lake Washington,POINT (-122.25135 47.663822)
Carkeek Outfall,KSIW02,47.708900499999999,-122.38999939999999,Marine Offshore,Central Puget Sound,POINT (-122.3899994 47.7089005)
Duwamish at Spokane St Bridge,0305,47.569262999999999,-122.35123400000001,Streams and Rivers,Duwamish,POINT (-122.351234 47.569263)
Harris Creek at Carnation Duvall Rd,HARRIS_1,47.678055559999997,-121.9083333,Streams and Rivers,Harris Creek,POINT (-121.9083333 47.67805556)
West Point South Beach,KSSN05,47.661201499999997,-122.4339981,Marine Intertidal,Central Puget Sound,POINT (-122.4339981 47.6612015)
North Creek mouth at Sammamish River Trail,0474,47.756305560000001,-122.1888333,Streams and Rivers,North,POINT (-122.1888333 47.75630556)
Point Roberts Park,MTXA01,47.386901899999998,-122.375,Marine Intertidal,Central Puget Sound,POINT (-122.375 47.3869019)
Lake Washington off Webster Point,0544,47.646680000000003,-122.27598999999999,Large Lakes,Lake Washington,POINT (-122.27599 47.64668)
Yarrow Creek near 101st Way NE,B499,47.643808329999999,-122.2056111,Streams and Rivers,Yarrow,POINT (-122.2056111 47.64380833)
Tibbetts Creek mouth at footbridge,X630,47.554000000000002,-122.0695556,Streams and Rivers,Tibbetts,POINT (-122.0695556 47.554)
Bear Creek upstream of mouth,0484A,47.667694599999997,-122.1222788,Streams and Rivers,Bear,POINT (-122.1222788 47.6676946)
Green River at 212th Way SE,B319,47.282361109999997,-122.0553333,Streams and Rivers,Green,POINT (-122.0553333 47.28236111)
Juanita Creek mouth at NE Juanita Dr,0446,47.705361109999998,-122.2167778,Streams and Rivers,Juanita,POINT (-122.2167778 47.70536111)
Pipers Creek upstream of S Ridge Trail,KTHA02,47.710777780000001,-122.3717194,Streams and Rivers,Pipers,POINT (-122.3717194 47.71077778)
Waverly Park Beach,WAVRLYPSB,47.687069999999999,-122.21724,Swimming Beaches,Lake Washington,POINT (-122.21724 47.68707)
Juanita Beach,0806SB,47.703724000000001,-122.21491,Swimming Beaches,Lake Washington,POINT (-122.21491 47.703724)
Lake Washington south end,0829,47.503639999999997,-122.215744,Large Lakes,Lake Washington,POINT (-122.215744 47.50364)
Green River at Starfire Way,3106,47.467805560000002,-122.2489722,Streams and Rivers,Green,POINT (-122.2489722 47.46780556)
Saratoga Passage - SW Camano Head,SARATOGACH,48.043999999999997,-122.369,Marine Offshore,Whidbey,POINT (-122.369 48.044)
Shinglemill Creek at SW Cedarhurst Rd,VA12A,47.478299999999997,-122.4817389,Streams and Rivers,Shinglemill,POINT (-122.4817389 47.4783)
Lake Union mid-lake,0526,47.636764999999997,-122.33457,Large Lakes,Lake Union/Ship Canal,POINT (-122.33457 47.636765)
Point Williams,LSNT01,47.533298500000001,-122.4329987,Marine Offshore,Central Puget Sound,POINT (-122.4329987 47.5332985)
Fey Bainbridge Park,KRJY01,47.704200700000001,-122.5059967,Marine Intertidal,Central Puget Sound,POINT (-122.5059967 47.7042007)
Green River at SE Auburn-Black Diamond Rd,A319,47.301479999999998,-122.17489999999999,Streams and Rivers,Green,POINT (-122.1749 47.30148)
Penn Cove - Coupeville wharf,PENNCOVECW,48.222999999999999,-122.688,Marine Offshore,Whidbey,POINT (-122.688 48.223)
Carkeek Park,ITCARKEEKP,47.712600700000003,-122.37899779999999,Marine Intertidal,Central Puget Sound,POINT (-122.3789978 47.7126007)
Golden Gardens Park,KSLU03,47.691898299999998,-122.4049988,Marine Intertidal,Central Puget Sound,POINT (-122.4049988 47.6918983)
Normandy Park,MTLD03,47.442501100000001,-122.3570023,Marine Intertidal,Central Puget Sound,POINT (-122.3570023 47.4425011)
Bear Creek downstream of Redmond Way,0484,47.669555559999999,-122.1100833,Streams and Rivers,Bear,POINT (-122.1100833 47.66955556)
South Plant Outfall North,RT625NP,47.603171940000003,-122.4273944,Marine Offshore,Central Puget Sound,POINT (-122.4273944 47.60317194)
Duwamish River - East Waterway,HNFD01,47.576999700000002,-122.3440018,Marine Offshore,Central Puget Sound,POINT (-122.3440018 47.5769997)
Cedar River at Bronson Way N,0438,47.481250000000003,-122.2027889,Streams and Rivers,Cedar,POINT (-122.2027889 47.48125)
Lake Sammamish near outlet,0625,47.652419999999999,-122.10657999999999,Large Lakes,Lake Sammamish,POINT (-122.10658 47.65242)
Lake Washington YSI Profiler Buoy,WABUOY,47.612136999999997,-122.25408,Large Lakes,Lake Washington,POINT (-122.25408 47.612137)
Sammamish River at NE Marymoor Way,0486,47.662361109999999,-122.1244444,Streams and Rivers,Sammamish,POINT (-122.1244444 47.66236111)
Rock Creek mouth,LSIN1,47.322499999999998,-122.0281389,Streams and Rivers,Rock,POINT (-122.0281389 47.3225)
Penn Cove entrance,PENNCOVEENT,48.237000000000002,-122.655,Marine Offshore,Whidbey,POINT (-122.655 48.237)
Issaquah North Fork at mouth,0632,47.550199999999997,-122.04600000000001,Streams and Rivers,Issaquah,POINT (-122.046 47.5502)
Lake Wilderness Park Beach,O717SB,47.376829999999998,-122.03883,Swimming Beaches,Lake Wilderness,POINT (-122.03883 47.37683)
McAleer at Bothell Way NE,A432,47.751947219999998,-122.2812778,Streams and Rivers,McAleer,POINT (-122.2812778 47.75194722)
Ebright Creek mouth at E Lake Sammamish Pkwy,A685,47.608333330000001,-122.07250000000001,Streams and Rivers,Ebright,POINT (-122.0725 47.60833333)
Tahlequah Creek mouth at SW Pohl Rd,VA37A,47.334575000000001,-122.50860280000001,Streams and Rivers,Tahlequah,POINT (-122.5086028 47.334575)
Lake Sammamish near Pine Lake Creek,0621,47.603990000000003,-122.08067,Large Lakes,Lake Sammamish,POINT (-122.08067 47.60399)
Snoqualmie River at Taylor Landing,SNQDUVALL,47.745277780000002,-121.9861111,Streams and Rivers,Snoqualmie,POINT (-121.9861111 47.74527778)
Cochran Springs near Lake Washington Blvd,A499,47.644861110000001,-122.2024722,Streams and Rivers,Cochran Springs,POINT (-122.2024722 47.64486111)
Evans Creek at NE Union Hill Rd,B484,47.675111110000003,-122.0812778,Streams and Rivers,Evans,POINT (-122.0812778 47.67511111)
Lake Sammamish State Park,0615SB,47.556666999999997,-122.071556,Swimming Beaches,Lake Sammamish,POINT (-122.071556 47.556667)
Magnolia CSO,KSYV02,47.632198299999999,-122.3990021,Marine Intertidal,Central Puget Sound,POINT (-122.3990021 47.6321983)
Tibbetts Creek,A630,47.554264000000003,-122.06845,Streams and Rivers,Tibbetts,POINT (-122.06845 47.554264)
Alki Beach,LSHV01,47.583698300000002,-122.40100099999999,Marine Intertidal,Central Puget Sound,POINT (-122.401001 47.5836983)
Dockton Park,NSAJ02,47.376111000000002,-122.45722000000001,Marine Offshore,Central Puget Sound,POINT (-122.45722 47.376111)
Saratoga Passage - Rocky Point,SARATOGARP,48.240000000000002,-122.55,Marine Offshore,Whidbey,POINT (-122.55 48.24)
West Point North Beach,KSSN04,47.662399299999997,-122.4339981,Marine Intertidal,Central Puget Sound,POINT (-122.4339981 47.6623993)
Vashon Outfall (Previous),VO50E,47.453201300000003,-122.439003,Marine Offshore,Central Puget Sound,POINT (-122.439003 47.4532013)
Fairweather Creek mouth downstream of 520 trail,0498,47.636499999999998,-122.2306111,Streams and Rivers,Fairweather,POINT (-122.2306111 47.6365)
Boise Creek mouth at SE Mud Mountain Rd,BSE_1MUDMTNRD,47.176083329999997,-122.0184333,Streams and Rivers,Boise,POINT (-122.0184333 47.17608333)
Lincoln Park,LSTU01,47.529998800000001,-122.40100099999999,Marine Intertidal,Central Puget Sound,POINT (-122.401001 47.5299988)
Griffin Creek approx 1.5 mi E of hwy 203,GRIFFIN,47.606111110000001,-121.88611109999999,Streams and Rivers,Griffin Creek,POINT (-121.8861111 47.60611111)
Lake Washington near Thornton Creek,0817,47.694836000000002,-122.26964599999999,Large Lakes,Lake Washington,POINT (-122.269646 47.694836)
East Passage,NSEX01,47.358600600000003,-122.387001,Marine Offshore,Central Puget Sound,POINT (-122.387001 47.3586006)
Patterson Creek mouth at W Snoqualmie River Rd SE,PATTER_3,47.591666670000002,-121.9277778,Streams and Rivers,Patterson Creek,POINT (-121.9277778 47.59166667)
Point Williams Buoy,PTWILLBUOY,47.537163900000003,-122.40611699999999,Marine Offshore,Central Puget Sound,POINT (-122.406117 47.5371639)
Lake Union east shore,0532,47.642597000000002,-122.33123999999999,Large Lakes,Lake Union/Ship Canal,POINT (-122.33124 47.642597)
Bear Creek at NE 95th St,C484,47.685555559999997,-122.0889167,Streams and Rivers,Bear,POINT (-122.0889167 47.68555556)
Lewis Creek mouth at 187th Ave SE,A617,47.570611110000002,-122.09227780000001,Streams and Rivers,Lewis,POINT (-122.0922778 47.57061111)
East Green Lake Swim Beach,A734SB,47.680390000000003,-122.32955,Swimming Beaches,Green Lake,POINT (-122.32955 47.68039)
Duwamish River at South Park Bridge,0307,47.529400000000003,-122.31399999999999,Streams and Rivers,Duwamish,POINT (-122.314 47.5294)
South Fork Snoqualmie at Snoqualmie Valley Trail,SFK_SNQ,47.501944440000003,-121.7861111,Streams and Rivers,Snoqualmie - South Fork,POINT (-121.7861111 47.50194444)
Pipers Creek mouth,KSHZ06,47.711861110000001,-122.37941669999999,Streams and Rivers,Pipers,POINT (-122.3794167 47.71186111)
Gedney Island to Possession Sound DO Transect Station 2,Poss DO-2,47.9392,-122.33580000000001,Marine Offshore,Whidbey,POINT (-122.3358 47.9392)
Quartermaster Harbor Yacht Club,MSWH01,47.393944400000002,-122.4635,Marine Offshore,Central Puget Sound,POINT (-122.4635 47.3939444)
Lake Washington north end,0804,47.746765000000003,-122.27124000000001,Large Lakes,Lake Washington,POINT (-122.27124 47.746765)
Fisher Creek at Vashon Hwy SW,VA41A,47.383988889999998,-122.4813889,Streams and Rivers,Fisher,POINT (-122.4813889 47.38398889)
Edwards Point,ITEDWARDSPT,47.803600299999999,-122.3949966,Marine Intertidal,Central Puget Sound,POINT (-122.3949966 47.8036003)
Ship Canal under I-5 bridge,0536,47.653346999999997,-122.32237000000001,Large Lakes,Lake Union/Ship Canal,POINT (-122.32237 47.653347)
Lake Washington near Coal Creek,0832,47.574226000000003,-122.19256,Large Lakes,Lake Washington,POINT (-122.19256 47.574226)
Me-Kwa-Mooks Park,LSLT02,47.563899999999997,-122.40699770000001,Marine Intertidal,Central Puget Sound,POINT (-122.4069977 47.5639)
Denny Way Short Outfall,LTBC41,47.622100799999998,-122.3700027,Marine Offshore,Central Puget Sound,POINT (-122.3700027 47.6221008)
Vashon Outfall,MSJN02,47.452899899999998,-122.4329987,Marine Offshore,Central Puget Sound,POINT (-122.4329987 47.4528999)
Ames Creek mouth at NE 100th St,AMES_1,47.686666670000001,-121.9833333,Streams and Rivers,Ames Creek,POINT (-121.9833333 47.68666667)
Pine Lake Beach,E708SB,47.587192999999999,-122.041,Swimming Beaches,Pine Lake,POINT (-122.041 47.587193)
Lake Union near west shore,A522,47.632890000000003,-122.337975,Large Lakes,Lake Union/Ship Canal,POINT (-122.337975 47.63289)
Covington Creek at SE Auburn-Black Diamond Rd,C320,47.312166670000003,-122.0966111,Streams and Rivers,Covington,POINT (-122.0966111 47.31216667)
Longfellow Creek at SW Brandon St,J370,47.55386111,-122.36694439999999,Streams and Rivers,Longfellow,POINT (-122.3669444 47.55386111)
Lake Sammamish near Lewis Creek,0617,47.571765999999997,-122.09429,Large Lakes,Lake Sammamish,POINT (-122.09429 47.571766)
Pioneer Square Habitat Beach,LTEH13,47.601154999999999,-122.336693,Marine Intertidal,Central Puget Sound,POINT (-122.336693 47.601155)
Crisp Creek below hatchery intake,F321,47.289777780000001,-122.0583611,Streams and Rivers,Crisp,POINT (-122.0583611 47.28977778)
Logboom Park,0801SB,47.757637000000003,-122.26559,Swimming Beaches,Lake Washington,POINT (-122.26559 47.757637)
Lake Washington mid-lake south,0831,47.515860000000004,-122.219086,Large Lakes,Lake Washington,POINT (-122.219086 47.51586)
Little Soos Creek at SE 272nd St,G320,47.357972220000001,-122.1256944,Streams and Rivers,Little Soos,POINT (-122.1256944 47.35797222)
North Fork Snoqualmie at 428th Ave SE,NFK_SNQ,47.521944439999999,-121.7694444,Streams and Rivers,Snoqualmie - North Fork,POINT (-121.7694444 47.52194444)
Madrona Park,SD007SB,47.608775999999999,-122.282616,Swimming Beaches,Lake Washington,POINT (-122.282616 47.608776)
Andrews Bay Seward Park,0813SB,47.551360000000003,-122.25775,Swimming Beaches,Lake Washington,POINT (-122.25775 47.55136)
Idylwood Park Swim Beach,0602SB,47.641669999999998,-122.10084500000001,Swimming Beaches,Lake Sammamish,POINT (-122.100845 47.64167)
South Fork Skykomish at hwy 2 mile marker 47.5,SKYKOMISH,47.711388890000002,-121.3722222,Streams and Rivers,Skykomish,POINT (-121.3722222 47.71138889)
Port Susan entrance - E Camano Head,PSUSANENT,48.060000000000002,-122.33,Marine Offshore,Whidbey,POINT (-122.33 48.06)
Matthews Beach,0818SB,47.696750000000002,-122.27267000000001,Swimming Beaches,Lake Washington,POINT (-122.27267 47.69675)
Venema Creek at Pipers Creek Trail,KTHA03,47.711055559999998,-122.3717778,Streams and Rivers,Venema,POINT (-122.3717778 47.71105556)
Point Williams - Shallow,LSNT01S,47.537163900000003,-122.40611699999999,Marine Offshore,Central Puget Sound,POINT (-122.406117 47.5371639)
Issaquah Creek North Fork mouth at 4th Ave NW,A632,47.546194440000001,-122.0416111,Streams and Rivers,Issaquah,POINT (-122.0416111 47.54619444)
Gorsuch Creek mouth near end of SW 167th St,VA65A,47.453633330000002,-122.4446389,Streams and Rivers,Gorsuch,POINT (-122.4446389 47.45363333)
Evans Creek at NE 50th St,S484,47.652444439999996,-122.05144439999999,Streams and Rivers,Evans,POINT (-122.0514444 47.65244444)
Lake Washington south of I-90,0890,47.575436000000003,-122.26730000000001,Large Lakes,Lake Washington,POINT (-122.2673 47.575436)
Mouth of Lake Washington Ship Canal,KSQU01,47.672199200000001,-122.4049988,Marine Intertidal,Central Puget Sound,POINT (-122.4049988 47.6721992)
Lake Sammamish near George Davis Creek,0622,47.615276000000001,-122.06947,Large Lakes,Lake Sammamish,POINT (-122.06947 47.615276)
Jefferson Head,KSBP01,47.743999500000001,-122.4280014,Marine Offshore,Central Puget Sound,POINT (-122.4280014 47.7439995)
Saratoga Passage - Onamac Point,SARATOGAOP,48.183999999999997,-122.55,Marine Offshore,Whidbey,POINT (-122.55 48.184)
Little Bear mouth near NE 178th St,0478,47.756583329999998,-122.1663889,Streams and Rivers,Little Bear,POINT (-122.1663889 47.75658333)
Point Wells,JSUR01,47.777400999999998,-122.41799930000001,Marine Offshore,Central Puget Sound,POINT (-122.4179993 47.777401)
Alki Outfall,LSKQ06,47.570301100000002,-122.4219971,Marine Offshore,Central Puget Sound,POINT (-122.4219971 47.5703011)
Juanita Creek at NE 132nd St,C446,47.718166670000002,-122.2039444,Streams and Rivers,Juanita,POINT (-122.2039444 47.71816667)
Sammamish River at NE 145th St,0450CC,47.732833329999998,-122.14555559999999,Streams and Rivers,Sammamish,POINT (-122.1455556 47.73283333)
Cedar River mouth,X438,47.495305559999998,-122.21369439999999,Streams and Rivers,Cedar,POINT (-122.2136944 47.49530556)
Judd Creek near end of SW 225th St,VA42A,47.403283330000001,-122.4687167,Streams and Rivers,Judd,POINT (-122.4687167 47.40328333)
Kennydale Park Beach,KNYDALESB,47.523249999999997,-122.20780999999999,Swimming Beaches,Lake Washington,POINT (-122.20781 47.52325)
Duwamish River - Harbor Island Marina,LTKE03,47.569499999999998,-122.3509979,Marine Offshore,Central Puget Sound,POINT (-122.3509979 47.5695)
Crisp Creek mouth at SE Green Valley Rd,0321,47.288361109999997,-122.0671389,Streams and Rivers,Crisp,POINT (-122.0671389 47.28836111)
Magnuson Park Off Leash Area,0826OLA,47.685560000000002,-122.248344,Swimming Beaches,Lake Washington,POINT (-122.248344 47.68556)
Elliott West Outfall,LTBC43,47.617500300000003,-122.3619995,Marine Offshore,Central Puget Sound,POINT (-122.3619995 47.6175003)
Des Moines Creek Park,MTUJ01,47.404399900000001,-122.3310013,Marine Intertidal,Central Puget Sound,POINT (-122.3310013 47.4043999)
Madison Park,0852SB,47.635559999999998,-122.276405,Swimming Beaches,Lake Washington,POINT (-122.276405 47.63556)
Tolt River mouth,TOLT_MTH,47.638055559999998,-121.9194444,Streams and Rivers,Tolt River,POINT (-121.9194444 47.63805556)
Lake Union near west shore,0522,47.633710000000001,-122.338745,Large Lakes,Lake Union/Ship Canal,POINT (-122.338745 47.63371)
Ship Canal near Fremont Bridge,0518,47.647779999999997,-122.34999999999999,Large Lakes,Lake Union/Ship Canal,POINT (-122.35 47.64778)
Burton Acres Park,MSXK01,47.390098600000002,-122.4469986,Marine Intertidal,Central Puget Sound,POINT (-122.4469986 47.3900986)
Piper's Creek,KTHA01,47.710601799999999,-122.3690033,Streams and Rivers,Pipers,POINT (-122.3690033 47.7106018)
Fauntleroy Cove,LSVV01,47.524799299999998,-122.3980026,Marine Offshore,Central Puget Sound,POINT (-122.3980026 47.5247993)
Outer Salmon Bay,KSRU03,47.667999299999998,-122.4059982,Marine Offshore,Central Puget Sound,POINT (-122.4059982 47.6679993)
Magnuson Park Swim Beach,0826SB,47.680447000000001,-122.246635,Swimming Beaches,Lake Washington,POINT (-122.246635 47.680447)
Lake Washington east of Mercer Island,0840,47.538710000000002,-122.20632999999999,Large Lakes,Lake Washington,POINT (-122.20633 47.53871)
Cottage Lake Creek,N484A,47.740166899999998,-122.082635,Streams and Rivers,Cottage Lake Creek,POINT (-122.082635 47.7401669)
Mercer Slough at 121st Ave SE,0444,47.603083329999997,-122.18122219999999,Streams and Rivers,Mercer Slough,POINT (-122.1812222 47.60308333)
South Central Elliott Bay,LTED04,47.603599500000001,-122.3570023,Marine Offshore,Central Puget Sound,POINT (-122.3570023 47.6035995)
Lake Washington Madison Park,0852,47.636496999999999,-122.26867,Large Lakes,Lake Washington,POINT (-122.26867 47.636497)
